Frequency (Hz)	Level (dB)
46.875000	-27.028343
93.750000	-18.064283
140.625000	-15.878856
187.500000	-16.249176
234.375000	-17.407597
281.250000	-20.071253
328.125000	-22.557556
375.000000	-24.541985
421.875000	-26.417189
468.750000	-28.015900
515.625000	-29.230913
562.500000	-30.525105
609.375000	-31.232891
656.250000	-32.107933
703.125000	-33.043583
750.000000	-34.083321
796.875000	-34.986652
843.750000	-35.328148
890.625000	-35.840691
937.500000	-36.559917
984.375000	-37.723824
1031.250000	-38.303596
1078.125000	-38.819454
1125.000000	-39.229465
1171.875000	-39.660503
1218.750000	-39.810219
1265.625000	-40.080036
1312.500000	-40.557842
1359.375000	-41.127411
1406.250000	-41.544960
1453.125000	-41.780891
1500.000000	-42.078617
1546.875000	-42.914799
1593.750000	-43.609371
1640.625000	-44.298622
1687.500000	-44.850998
1734.375000	-45.509480
1781.250000	-45.756893
1828.125000	-46.167404
1875.000000	-46.769440
1921.875000	-46.595352
1968.750000	-46.940079
2015.625000	-46.923004
2062.500000	-47.084522
2109.375000	-48.091125
2156.250000	-48.468094
2203.125000	-48.568169
2250.000000	-48.859592
2296.875000	-48.987625
2343.750000	-49.590218
2390.625000	-49.911335
2437.500000	-49.984852
2484.375000	-50.289711
2531.250000	-50.763000
2578.125000	-51.069290
2625.000000	-50.864605
2671.875000	-51.436943
2718.750000	-52.280972
2765.625000	-52.448009
2812.500000	-52.147064
2859.375000	-52.595425
2906.250000	-52.961029
2953.125000	-53.211430
3000.000000	-53.821148
3046.875000	-53.845802
3093.750000	-53.908409
3140.625000	-54.058704
3187.500000	-54.499031
3234.375000	-54.800549
3281.250000	-54.838905
3328.125000	-55.196213
3375.000000	-55.121307
3421.875000	-55.405243
3468.750000	-55.761856
3515.625000	-56.050503
3562.500000	-56.367989
3609.375000	-56.147022
3656.250000	-56.427567
3703.125000	-57.002846
3750.000000	-57.211300
3796.875000	-57.293503
3843.750000	-57.864185
3890.625000	-58.178741
3937.500000	-58.282593
3984.375000	-58.726978
4031.250000	-58.975204
4078.125000	-58.943592
4125.000000	-59.396538
4171.875000	-59.824177
4218.750000	-59.710770
4265.625000	-60.112507
4312.500000	-60.238907
4359.375000	-60.875740
4406.250000	-61.077480
4453.125000	-60.978779
4500.000000	-60.936649
4546.875000	-61.345604
4593.750000	-61.499741
4640.625000	-61.431889
4687.500000	-61.459484
4734.375000	-61.873455
4781.250000	-62.151146
4828.125000	-62.175735
4875.000000	-62.500637
4921.875000	-63.002975
4968.750000	-62.686523
5015.625000	-62.576614
